sp,period,habitat,evolR,FAD,LAD,disO2ageMinHi,disO2ageMinLo,disO2ageMaxHi,disO2ageMaxLo,pcShallageMin,pcShallageMax,CO2ageMinHi,CO2ageMinLo,CO2ageMaxHi,CO2ageMaxLo,O2ageMinHi,O2ageMinLo,O2ageMaxHi,O2ageMaxLo,subFluxageMinHi,subFluxageMinLo,subFluxageMaxHi,subFluxageMaxLo,SLageMinHi,SLageMinLo,SLageMaxHi,SLageMaxLo,SSTageMinHi,SSTageMinLo,SSTageMaxHi,SSTageMaxLo
Diplocercides_kayseri,Upper_Devonian_(late_Frasnian),,1.0854,375.7,372.2,163.5523541,118.9938552,155.6467662,111.806997,22.80737643,22.52049193,1545.958263,365.0663077,1419.408722,389.2149154,18.65671832,12.68656937,19.02985263,13.20895512,1.816666812,1.766666614,1.908332731,1.858333486,256.6371814,210.7964656,252.3008937,205.8407182,27.19511384,22.92682155,33.65853624,32.43902416
Shoshonia_arctopteryx,Middle�Upper_Devonian_(Givetian-Frasnian),,1.4104,387.7,372.2,220.3285449,168.5831604,155.6467662,111.806997,21.25855,22.52049193,1586.079167,481.8537165,1419.408722,389.2149154,20.37313557,14.92537523,19.02985263,13.20895512,1.941666832,1.908332731,1.908332731,1.858333486,275.8407111,225.044248,252.3008937,205.8407182,25.85366171,22.92682155,33.65853624,32.43902416
Serenichthys_kowiensis,Upper_Devonian_(Late_Famennian),estuarine,1.493,363.3333333,358.9,165.7084335,121.1499072,195.1745412,141.2730498,21.37295027,20.60792371,1186.363758,384.260678,1331.342353,259.4242936,21.94029854,16.7164182,25.29850732,20.07462699,2.108333525,1.991666077,2.208333287,2.025000179,163.7168306,134.6017826,106.7256773,88.76106671,28.53658457,26.09756041,31.70731878,28.17073188
Allenypterus_montanus,Lower_Carboniferous_(Serpukhovian),marine ,4.4601,330.9,323.2,297.2279332,196.6119183,305.1334662,208.8295827,17.93032892,17.45218687,436.7786359,119.190043,477.7560992,230.1887915,26.41791025,23.13433003,22.76119572,19.02985263,1.858333486,1.824999384,1.633333386,1.625000179,143.8938177,118.4955743,100.5309873,81.32743392,16.21950976,13.78048559,16.21950976,13.78048559
Caridosuctor populosum,Lower_Carboniferous_(Serpukhovian),marine ,4.1142,330.9,323.2,297.2279332,196.6119183,305.1334662,208.8295827,17.93032892,17.45218687,436.7786359,119.190043,477.7560992,230.1887915,26.41791025,23.13433003,22.76119572,19.02985263,1.858333486,1.824999384,1.633333386,1.625000179,143.8938177,118.4955743,100.5309873,81.32743392,16.21950976,13.78048559,16.21950976,13.78048559
Hadronector_donbairdi,Lower_Carboniferous_(Serpukhovian),marine ,1.2622,330.9,323.2,297.2279332,196.6119183,305.1334662,208.8295827,17.93032892,17.45218687,436.7786359,119.190043,477.7560992,230.1887915,26.41791025,23.13433003,22.76119572,19.02985263,1.858333486,1.824999384,1.633333386,1.625000179,143.8938177,118.4955743,100.5309873,81.32743392,16.21950976,13.78048559,16.21950976,13.78048559
Lochmocercus_aciculiodontus,Lower_Carboniferous_(Serpukhovian),marine ,1.6997,330.9,323.2,297.2279332,196.6119183,305.1334662,208.8295827,17.93032892,17.45218687,436.7786359,119.190043,477.7560992,230.1887915,26.41791025,23.13433003,22.76119572,19.02985263,1.858333486,1.824999384,1.633333386,1.625000179,143.8938177,118.4955743,100.5309873,81.32743392,16.21950976,13.78048559,16.21950976,13.78048559
Polyosteorhynchus_simplex,Lower_Carboniferous_(Serpukhovian),marine ,2.2882,330.9,323.2,297.2279332,196.6119183,305.1334662,208.8295827,17.93032892,17.45218687,436.7786359,119.190043,477.7560992,230.1887915,26.41791025,23.13433003,22.76119572,19.02985263,1.858333486,1.824999384,1.633333386,1.625000179,143.8938177,118.4955743,100.5309873,81.32743392,16.21950976,13.78048559,16.21950976,13.78048559
Rhabdoderma_exiguum,Upper_Carboniferous_(upper_part_of_the_Moscovian),marine,1.6152,311,306,333.0374736,230.1775211,339.2505016,234.3195222,14.91887804,15.33185897,462.8765204,256.6198362,615.9562003,254.2656129,27.99042986,25.19138851,29.71291894,25.98086108,1.384462084,1.360557456,1.344621444,1.304780804,168.9024425,138.4146384,175.6097501,144.5121993,22.0689614,13.67815749,26.66666265,17.70114609
Rhaboderma_elegans,Upper_Carboniferous_(Namurian_A_Westphalian_D),freshwater,1.6037,330.9,303.7,297.2279332,196.6119183,352.5667331,242.6077944,17.93032892,15.82650315,436.7786359,119.190043,619.9142396,280.1508178,26.41791025,23.13433003,29.92537333,25.97015022,1.858333486,1.824999384,1.358333088,1.3,143.8938177,118.4955743,173.0088657,142.0354154,16.21950976,13.78048559,22.80488151,17.56098049
Rhabdoderma_(?) newelli,Upper_Carboniferous_(Stephanian_B_Kasimovian),freshwater-brackish-marine,1.2251,307,303.7,337.4743281,231.8275071,352.5667331,242.6077944,14.77459026,15.82650315,586.4391217,250.7116229,619.9142396,280.1508178,29.4776133,25.89552165,29.92537333,25.97015022,1.349999881,1.3,1.358333088,1.3,176.7256702,145.1327604,173.0088657,142.0354154,24.51219563,18.53658922,22.80488151,17.56098049
Spermatodus_pustulosus,Lower_Permian_(Artinskian_Kazanian),,2.7254,290.1,283.5,420.841886,295.0718812,415.092405,293.6345041,16.59152971,16.35245868,722.9264514,402.7408196,804.3720748,483.9157645,38.35820815,33.0597021,40.22388112,33.50746355,1.524999781,1.449999642,1.474999901,1.42500002,119.734517,99.91150409,135.8407253,112.9203674,18.53658922,12.92683086,18.29268588,12.92683086
