sp,period,habitat,evolR,FAD,LAD,disO2ageMinHi,disO2ageMinLo,disO2ageMaxHi,disO2ageMaxLo,pcShallageMin,pcShallageMax,CO2ageMinHi,CO2ageMinLo,CO2ageMaxHi,CO2ageMaxLo,O2ageMinHi,O2ageMinLo,O2ageMaxHi,O2ageMaxLo,subFluxageMinHi,subFluxageMinLo,subFluxageMaxHi,subFluxageMaxLo,SLageMinHi,SLageMinLo,SLageMaxHi,SLageMaxLo,SSTageMinHi,SSTageMinLo,SSTageMaxHi,SSTageMaxLo
Whiteia_oishoii,Upper_Triassic_(earliest_Carnian_to_late_Norian),marine ,1.1899,237,208.5,217.4537907,152.0533371,268.4805004,198.0492954,13.81830615,13.05327959,1599.682908,633.2922689,1371.738396,950.1301272,38.13432814,29.55223902,33.58208928,25.2238816,1.266666534,1.241666276,1.183333188,1.166666773,39.20354626,33.00885621,21.23893565,15.04424559,28.53658457,19.87804135,27.31707249,16.95122445
Atacamaia_solitaria,Lower_Jurassic_(lower-to-middle_Sinemurian),marine ,1.6786,199.3,193.633,216.7351158,159.2401953,157.8028731,98.15192803,13.24453531,10.13661195,1764.768447,1254.083774,1980.430667,1089.250018,31.8656706,24.10447867,29.92537333,22.38806142,1.166666773,1.125000099,1.091666634,1.058333168,59.64604235,50.97346682,56.54869733,46.63715543,22.92682155,18.17073653,23.90243959,19.14634526
Diplurus_newarki,Lower_Jurassic_(Sinemurian),freshwater ,0.7837,199.3,190.8,216.7351158,159.2401953,142.7104818,75.15400371,13.24453531,9.849723799,1764.768447,1254.083774,1698.232329,861.2500568,31.8656706,24.10447867,29.25373043,21.86567281,1.166666773,1.125000099,1.04999996,1.008333287,59.64604235,50.97346682,51.59292638,44.77877677,22.92682155,18.17073653,21.46341543,19.75610131
Holophagus_gulo,Lower_Jurassic_(Sinemurian),,2.0943,199.3,190.8,216.7351158,159.2401953,142.7104818,75.15400371,13.24453531,9.849723799,1764.768447,1254.083774,1698.232329,861.2500568,31.8656706,24.10447867,29.25373043,21.86567281,1.166666773,1.125000099,1.04999996,1.008333287,59.64604235,50.97346682,51.59292638,44.77877677,22.92682155,18.17073653,21.46341543,19.75610131
Trachymetopon_liassicum,Lower_Jurassic_(Lower_Toarcian),marine ,1.4484,182.7,179.8333333,150.6160149,90.24639497,156.3654959,99.58933257,8.702185783,8.797814559,1079.98701,689.7544033,1176.274893,660.9206696,28.65671611,21.71641852,30.07462762,23.50746434,1.116666256,1.083333426,1.158332929,1.125000099,24.95574023,23.09736157,32.38939665,24.95574023,19.39024396,18.29268588,27.80486988,25.24390567
Indocoelacanthus_robustus,Lower_Jurassic_(Toarcian),,0.706,182.7,174.1,150.6160149,90.24639497,157.0841982,107.4948656,8.702185783,10.32786585,1079.98701,689.7544033,1196.539057,741.6879903,28.65671611,21.71641852,30.22388191,23.73134436,1.116666256,1.083333426,1.233333068,1.17499998,24.95574023,23.09736157,90.61946901,70.17699655,19.39024396,18.29268588,28.29268588,22.43902416
Swenzia_latimerae,Lower_Upper_Jurassic_(late_Oxfordian),marine ,2.2796,159.3666667,157.3,185.831631,135.5236236,191.1067446,139.2292786,14.58333453,12.91023819,1021.668149,505.027373,1133.834354,481.7118087,29.77611903,23.28358148,29.85646016,23.61244064,1.416666812,1.358333088,1.456175357,1.39243009,212.6548678,174.2477848,207.317071,169.5121893,23.41463755,20,24.48275718,15.97700812
Lualabaea_lerichei,Upper_Jurassic_(Kimmeridgian),,2.3322,157.3,152.1,191.7984336,138.5375632,197.3320247,140.6126565,13.0575029,10.94670006,1133.834354,479.6017682,1070.940728,559.2517425,29.76378,23.59842559,30.25984349,24.2362219,1.444881833,1.389763966,1.523621986,1.460629623,203.1409157,168.6757269,170.4584048,140.1528129,24.91329281,15.89595225,20.40462474,18.55491544
Parnaibaia_maranhaoensis,Upper_Jurassic_(Oxfordian_to_Kimmeridgian),freshwater ,0.807,163.5,152.1,173.1225405,126.7786656,197.3320247,140.6126565,14.28471189,10.85382503,1015.986122,637.9718977,864.935555,599.0947429,29.76378,23.45669277,30.37313336,24.5522387,1.358267785,1.311023814,1.574999662,1.500000159,200.1697783,162.7334523,158.1416001,130.8849544,20.98265944,19.59536644,19.87804135,19.26828531
Undina_cirinensis,Upper_Jurassic_(late_Kimmeridgian),laguna,1.4821,153.8333333,152.1,196.6403357,142.6877763,197.3320247,140.6126565,11.18852484,10.94670006,725.7364271,335.5117011,1070.940728,559.2517425,30.14353984,24.04306154,30.25984349,24.2362219,1.496015997,1.43227073,1.523621986,1.460629623,182.317081,149.3902433,170.4584048,140.1528129,23.79309937,18.16091797,20.40462474,18.55491544
